/home/chris/miniconda3/envs/LTN/bin/python /dat/proj/LTN-STS/examples/example1.py

================================================================================================================
[device] cuda:1 ∈ [cuda:0, cuda:1, cuda:2, cuda:3]
================================================================================================================




###
# Dataset
###



###
# LTN setting
###



###
# Utils
###



###
# Learning
###
 epoch 0 | loss 0.5026 | Train Sat 0.498 | Test Sat 0.497 | Train Acc 0.340 | Test Acc 0.280
 epoch 360 | loss 0.2565 | Train Sat 0.745 | Test Sat 0.709 | Train Acc 0.940 | Test Acc 0.900
 epoch 380 | loss 0.2378 | Train Sat 0.763 | Test Sat 0.725 | Train Acc 0.960 | Test Acc 0.900
 epoch 400 | loss 0.2213 | Train Sat 0.779 | Test Sat 0.737 | Train Acc 0.960 | Test Acc 0.920
 epoch 420 | loss 0.2070 | Train Sat 0.794 | Test Sat 0.747 | Train Acc 0.960 | Test Acc 0.920
 epoch 440 | loss 0.1945 | Train Sat 0.806 | Test Sat 0.756 | Train Acc 0.960 | Test Acc 0.940
 epoch 460 | loss 0.1834 | Train Sat 0.817 | Test Sat 0.762 | Train Acc 0.960 | Test Acc 0.940
 epoch 480 | loss 0.1733 | Train Sat 0.827 | Test Sat 0.768 | Train Acc 0.960 | Test Acc 0.940
 epoch 500 | loss 0.1640 | Train Sat 0.836 | Test Sat 0.772 | Train Acc 0.980 | Test Acc 0.940
 epoch 520 | loss 0.1554 | Train Sat 0.845 | Test Sat 0.776 | Train Acc 0.980 | Test Acc 0.940
 epoch 540 | loss 0.1475 | Train Sat 0.853 | Test Sat 0.780 | Train Acc 0.980 | Test Acc 0.940
 epoch 560 | loss 0.1400 | Train Sat 0.860 | Test Sat 0.784 | Train Acc 0.980 | Test Acc 0.940
 epoch 580 | loss 0.1329 | Train Sat 0.867 | Test Sat 0.788 | Train Acc 0.980 | Test Acc 0.960
 epoch 600 | loss 0.1262 | Train Sat 0.874 | Test Sat 0.790 | Train Acc 0.980 | Test Acc 0.960
 epoch 620 | loss 0.1199 | Train Sat 0.880 | Test Sat 0.794 | Train Acc 1.000 | Test Acc 0.960
 epoch 640 | loss 0.1139 | Train Sat 0.886 | Test Sat 0.796 | Train Acc 1.000 | Test Acc 0.960
 epoch 660 | loss 0.1082 | Train Sat 0.892 | Test Sat 0.799 | Train Acc 1.000 | Test Acc 0.960
 epoch 680 | loss 0.1029 | Train Sat 0.897 | Test Sat 0.801 | Train Acc 1.000 | Test Acc 0.960
 epoch 700 | loss 0.0978 | Train Sat 0.902 | Test Sat 0.804 | Train Acc 1.000 | Test Acc 0.960
 epoch 720 | loss 0.0931 | Train Sat 0.907 | Test Sat 0.806 | Train Acc 1.000 | Test Acc 0.960
 epoch 740 | loss 0.0885 | Train Sat 0.912 | Test Sat 0.808 | Train Acc 1.000 | Test Acc 0.960
 epoch 760 | loss 0.0843 | Train Sat 0.916 | Test Sat 0.809 | Train Acc 1.000 | Test Acc 0.980
 epoch 780 | loss 0.0802 | Train Sat 0.920 | Test Sat 0.811 | Train Acc 1.000 | Test Acc 0.980
 epoch 800 | loss 0.0763 | Train Sat 0.924 | Test Sat 0.812 | Train Acc 1.000 | Test Acc 0.980
 epoch 820 | loss 0.0726 | Train Sat 0.928 | Test Sat 0.813 | Train Acc 1.000 | Test Acc 0.960
 epoch 840 | loss 0.0691 | Train Sat 0.931 | Test Sat 0.812 | Train Acc 1.000 | Test Acc 0.960
 epoch 860 | loss 0.0658 | Train Sat 0.934 | Test Sat 0.812 | Train Acc 1.000 | Test Acc 0.960
 epoch 880 | loss 0.0625 | Train Sat 0.938 | Test Sat 0.811 | Train Acc 1.000 | Test Acc 0.960
 epoch 900 | loss 0.0594 | Train Sat 0.941 | Test Sat 0.810 | Train Acc 1.000 | Test Acc 0.960
 epoch 920 | loss 0.0564 | Train Sat 0.944 | Test Sat 0.810 | Train Acc 1.000 | Test Acc 0.960
 epoch 940 | loss 0.0536 | Train Sat 0.947 | Test Sat 0.809 | Train Acc 1.000 | Test Acc 0.960
 epoch 960 | loss 0.0509 | Train Sat 0.949 | Test Sat 0.810 | Train Acc 1.000 | Test Acc 0.960
 epoch 980 | loss 0.0483 | Train Sat 0.952 | Test Sat 0.810 | Train Acc 1.000 | Test Acc 0.960

Process finished with exit code 0
